--- REPORTE GENERAL DE VENTAS ----

Total de registros: 200

MONTO TOTAL VENDIDO:
S/. 530221

---------------------------------------
VENDEDOR CON MAYOR RECAUDACION:
ID Vendedor: 6
Total vendido: S/. 8050.5

---------------------------------------
PRODUCTO MÁS VENDIDO:
ID Producto: 10
Total unidades: 150

---------------------------------------
VENTAS SOSPECHOSAS (cantidad > 100):

ID Venta: 3 | Vendedor: 10 | Producto: 17 | Cantidad: 109
ID Venta: 7 | Vendedor: 3 | Producto: 3 | Cantidad: 102
ID Venta: 8 | Vendedor: 2 | Producto: 5 | Cantidad: 146
ID Venta: 9 | Vendedor: 10 | Producto: 9 | Cantidad: 129
ID Venta: 10 | Vendedor: 5 | Producto: 14 | Cantidad: 118
ID Venta: 11 | Vendedor: 10 | Producto: 6 | Cantidad: 117
ID Venta: 16 | Vendedor: 9 | Producto: 17 | Cantidad: 127
ID Venta: 24 | Vendedor: 1 | Producto: 11 | Cantidad: 123
ID Venta: 28 | Vendedor: 8 | Producto: 17 | Cantidad: 128
ID Venta: 31 | Vendedor: 9 | Producto: 4 | Cantidad: 143
ID Venta: 34 | Vendedor: 1 | Producto: 3 | Cantidad: 116
ID Venta: 36 | Vendedor: 5 | Producto: 12 | Cantidad: 101
ID Venta: 39 | Vendedor: 1 | Producto: 18 | Cantidad: 130
ID Venta: 40 | Vendedor: 4 | Producto: 18 | Cantidad: 135
ID Venta: 42 | Vendedor: 2 | Producto: 19 | Cantidad: 147
ID Venta: 45 | Vendedor: 10 | Producto: 17 | Cantidad: 105
ID Venta: 46 | Vendedor: 2 | Producto: 20 | Cantidad: 109
ID Venta: 47 | Vendedor: 7 | Producto: 1 | Cantidad: 107
ID Venta: 48 | Vendedor: 8 | Producto: 3 | Cantidad: 102
ID Venta: 50 | Vendedor: 6 | Producto: 10 | Cantidad: 123
ID Venta: 51 | Vendedor: 5 | Producto: 8 | Cantidad: 148
ID Venta: 53 | Vendedor: 7 | Producto: 19 | Cantidad: 146
ID Venta: 54 | Vendedor: 8 | Producto: 16 | Cantidad: 103
ID Venta: 67 | Vendedor: 10 | Producto: 2 | Cantidad: 116
ID Venta: 72 | Vendedor: 4 | Producto: 14 | Cantidad: 149
ID Venta: 73 | Vendedor: 7 | Producto: 5 | Cantidad: 131
ID Venta: 74 | Vendedor: 8 | Producto: 16 | Cantidad: 115
ID Venta: 75 | Vendedor: 7 | Producto: 20 | Cantidad: 112
ID Venta: 77 | Vendedor: 8 | Producto: 19 | Cantidad: 114
ID Venta: 78 | Vendedor: 3 | Producto: 13 | Cantidad: 147
ID Venta: 81 | Vendedor: 3 | Producto: 4 | Cantidad: 127
ID Venta: 85 | Vendedor: 2 | Producto: 9 | Cantidad: 131
ID Venta: 88 | Vendedor: 7 | Producto: 12 | Cantidad: 112
ID Venta: 89 | Vendedor: 7 | Producto: 20 | Cantidad: 131
ID Venta: 90 | Vendedor: 3 | Producto: 20 | Cantidad: 101
ID Venta: 91 | Vendedor: 1 | Producto: 16 | Cantidad: 125
ID Venta: 92 | Vendedor: 9 | Producto: 10 | Cantidad: 150
ID Venta: 96 | Vendedor: 7 | Producto: 15 | Cantidad: 101
ID Venta: 97 | Vendedor: 6 | Producto: 2 | Cantidad: 150
ID Venta: 99 | Vendedor: 8 | Producto: 9 | Cantidad: 134
ID Venta: 100 | Vendedor: 8 | Producto: 3 | Cantidad: 118
ID Venta: 102 | Vendedor: 10 | Producto: 2 | Cantidad: 145
ID Venta: 104 | Vendedor: 2 | Producto: 7 | Cantidad: 137
ID Venta: 108 | Vendedor: 4 | Producto: 13 | Cantidad: 134
ID Venta: 113 | Vendedor: 4 | Producto: 16 | Cantidad: 109
ID Venta: 116 | Vendedor: 2 | Producto: 20 | Cantidad: 113
ID Venta: 122 | Vendedor: 5 | Producto: 15 | Cantidad: 136
ID Venta: 133 | Vendedor: 6 | Producto: 3 | Cantidad: 103
ID Venta: 135 | Vendedor: 5 | Producto: 8 | Cantidad: 146
ID Venta: 137 | Vendedor: 6 | Producto: 15 | Cantidad: 104
ID Venta: 139 | Vendedor: 5 | Producto: 19 | Cantidad: 125
ID Venta: 141 | Vendedor: 6 | Producto: 10 | Cantidad: 140
ID Venta: 146 | Vendedor: 1 | Producto: 18 | Cantidad: 138
ID Venta: 154 | Vendedor: 4 | Producto: 5 | Cantidad: 130
ID Venta: 159 | Vendedor: 7 | Producto: 14 | Cantidad: 147
ID Venta: 163 | Vendedor: 9 | Producto: 19 | Cantidad: 106
ID Venta: 170 | Vendedor: 5 | Producto: 4 | Cantidad: 107
ID Venta: 174 | Vendedor: 2 | Producto: 1 | Cantidad: 134
ID Venta: 179 | Vendedor: 1 | Producto: 11 | Cantidad: 124
ID Venta: 186 | Vendedor: 3 | Producto: 10 | Cantidad: 138
ID Venta: 191 | Vendedor: 5 | Producto: 9 | Cantidad: 121
ID Venta: 194 | Vendedor: 2 | Producto: 14 | Cantidad: 136
ID Venta: 196 | Vendedor: 3 | Producto: 14 | Cantidad: 150
ID Venta: 197 | Vendedor: 7 | Producto: 13 | Cantidad: 117
ID Venta: 198 | Vendedor: 8 | Producto: 1 | Cantidad: 147
